Id,Proficiency,Text
zh076CVMTI1_2,B1,"Cara FF:

Olá! Minha querida, estás tudo bem contigo? Tenho muitos saudades de ti! A tua família está tudo bem? Com correu o teu exame? Queria convidar-te para passar férias comigo, se calhar no próximo fins-de-semana, o que achas? Vamos visitar a Sintra e Lisboa. No primeiro dia, vamos encontrar na estação de comboio de Restauradores e depois vamos à Palácio Nacional para passearmos um pouco, vamos experimentar um bolo especial e vamos andar a bicicleta pela Sintra. No segundo dia, vamos viajar o capital de Portugal, Lisboa, poderemos ir à Torre de Belém, ao Castelo de S. Jorge e faremos compras no centro comercial Vasco da Gama. Quando chagaremos ao Descobrimento, vamos provar o pastel de Nata, que é muito famoso e delicioso. À noite, poderemos sair um pouco, vamos para os bares que ficam perto da estação de metro Cais do Sodré para relaxarmos, que tal?

Espero que gostes!

Um beijinho,

FF.

2011-07-04."
it021CVSTI_1,C1,"A moral e a ética são dois conceitos que se juntam em relação à vida dos homens na sociedade. A ética pode ser definida como o conjunto de princípios e valores pelos quais as ações humanas são (ou seria melhor dizer “deveriam ser”) direcionadas. Esta nasce antes no interior do indivíduo e direciona-se logo para o mundo circumdante, enquanto a moral venha de fora para dentro. Por causa de não poder existir uma moral sem ética, esta pode ser considerada “o chapéu da ética”: de facto, é só possível admitir a existência duma ética sem moral. Além da simbiose que intercorre entre os dois, a moral está ligada mais às temáticas religiosas e a ética às questões relativas à saúde, como por exemplo a bioética. Embora todas as pessoas sejam “seres éticos”, às vezes não se lembram desta caraterística. O comportamento ético poderia permitir o desenvolvimento duma sociedade na qual são os homens que trazem benefícios. O objetivo do caminho ético, no qual todos nós estamos envolvidos, pertence à salvaguarda das pessoas e não das coisas. Então, o sentido ético é o valor maior da vida, que torna possível as relações humanas na perspetiva do “bem estar” comum."
es072CAETF,A2,"Para ter uma vida saudável, há duas coisas muito importantes: ter uma alimentação estável e fazer desporto. Como eu sei que queres ter uma alimentação mais saudável para baixar o peso, vou-te dar alguns conselhos que acho que são importantes para ter uma vida saudável.

A primeira coisa é não deixar de comer. Muitas pessoas acham que comendo menos, vão ficar com menos peso, mas isso não é uma boa solução, porque quando eles deixam de se acostumar a comer pouco voltam a comer mais, o peso ganha-se mas rápido . O que tens que fazer é comer 3  vezes ao dia, uma quantidade nem grande nem pequena e que a comida seja variada e saudável: legumes, fruta, peixe, um pouco de carne… É preciso não comeres Não deves comer entre horas, e se tens fome, comer alguma maça ou laranja. O pequeno-almoço é muito importante, é quando podes deves comer coisas mais variadas. É preciso evitares gorduras. E não te esqueças! Há outra coisa muito importante para ter uma vida saudável: fazer desporto. Poderias sair para correr no jardim perto da tua casa várias vezes por semana. Para além de / Além de de ser de graça, também é ser bom para ter melhor cultivar o carácter."
zh092CAETF,A2,"Querido pai,

Como estás? Tudo bem em Taiwan? Por aqui tudo bem! O novo ano chinês já passou, eu e as minhas amigas taiwanesas fizemos uma festa grande na nossa casa em Lisboa e convidámos vinte e três amigos estrangeiros para celebrarmos o novo ano juntos! Tenho tido tempos contentes aqui e não me esqueço de estudar portugês! Desde Dezembro, o tempo tem ficado cada vez pior. Sabes, eu não gosto de inverno nada! Mas felizmente quase todos os quartos aqui têm aquecedores e, por isso, não sinto muito frio! Os meus amigos são simpáticos e tenho constumado gozar a minha vida em Europa! No entanto, às vezes faz-me [Fig1] falta as comidas taiwanesas. Além disso, começo [Fig1] sentir-me um pouco nervosa por causa de coisas sobre procurar o emprego antes de vir para Taiwan. Espero, tudo vai correr bem. Que tal tudo em Taiwan? Tens saudades minhas? Haha, é brincadeira. Tenho muitos saudades tuas. Espero a tua carta.

Beijinhos.

Filha, FF em Lisboa."
es034CVATI,B2,"Em geral, acho que os costumes dos portugueses são parecidas às os do meu país. Com certeza há algumas coisas diferentes, mas em geral, não somos tão diferentes.

Sem dúvida os portugueses comem muito mais peixe do que os colombianos. Também, os queijos, os vinhos e os produtos que saem das oliveiras, muito tradicionais na vida portuguesa, são melhores e mais abundantes. Da mesma maneira, pelo apoio da União Europeia e pelo passado histórico, Portugal tem uma infraestrutura cultural e industrial muito rica, talvez mais desenvolvida do que tem a Colômbia. Mas em outras tradições os colombianos e os portugueses são muito parecidos,: a forte estrutura familiar, conservadora e tradicional, parece-se muito em ambos os países. As duas nações são muito religiosas também.

Na atitude de vida, os colombianos e os portugueses são tal e qual: ambos acham que são menos que o resto do mundo e, por isso, estão muito preocupados com ter as coisas "" "" maiores, ""melhores"" e ""mais famosas"".

Ainda mais, a crise mundial que tem Portugal e de maneira particular o desemprego e a falta de dinheiro, faz com que a vida diária das pessoas em Colômbia e Portugal seja muito similar. As famílias cá e lá têm de poupar e mudar as condições de vida para vencer os momentos difíceis.

Muitas vezes as semelhanças fazem-me sentir como se estivesse na Colômbia!"
zh095CAMTI,B1,"Eu gostaria que a foto acontecesse na praça praça: um avô e uma avó ajudam-se mutuamente e eles sorriem felizes, segurando um papel que tem as palavras ""Lisboetas Apaixonados"".

As minhas frases são muito cheias de vida. Gostava que cada pessoa de Lisboa, porque eles são muito animados. Um vez, eu jantei com os meus amigos até muito tarde.. Não havia metro para voltar para casa e eu sumi. ?? Estava muito ansiosa. Depois, eu perguntei a uma pessoa estranha, onde ficava a minha casa . Ele estave preocupado que eu voltasse para casa sozinha porque era perigoso, então, ele levou-me à minha casa. Eu fiquei tocada com este gesto.

Eu sempre pregunto a outras pessoas estrangeiras, o que sentem quando vivem em Lisboa. Quase todas as pessoas me dizem que eles se sentem muito bem, especialmente, os lisboetas são muito muito apaixonados. Eu gostaria de viver aqui!"
en033CVITF2_1,A1,"M - Estou?

R - Olá, FF, bom dia.

M - Bom dia, FF, tudo bem?

R - Tudo bem. Que fazes no próximo fim de semana?

M - Que dia?

R - Sexta-feira, à noite?

M - Nada.

R - Queres ver o filme comigo?

M - Boa  ideia! Que filme?

R - ""Titanic"", conheces o filme?

M - Sim! Eu adoro o filme! O que é que o filme começa?

R - Às 19:30 a noite.

M - Que bom!

R - Está combinado.

M - Está combinado. Até sexta-feira.

R - Até sexta-feira. adeus.

M - Adeus."
es027CVMTD,B1,"Eu estive no norte de Espanha com a minha família. Normalmente ali o tempo é fresco, mas nós tivemos um tempo óptimo. De manhã íamos à praia, depois almoçávamos no hotel e à tarde visitávamos as vilas e aldeias perto = próximas do nosso hotel. À noite jantávamos sempre num restaurante muito bonito e muito barato, perto do hotel. Foram umas férias muito tranquilas. Se tivesse outra oportunidade voltaria sem nenhuma dúvida. É possível viajar ali nas próximas férias."
it001CVETD,A2,"Desculpa. Eu pedi um bife mal passado, mas este bife é bem passado. Depois, eu pedi arroz e salada e não batatas fritas e arroz. Podia me trazer os pratos que eu encomendei?

- Com certeza.

- Muito obrigado.

- Olá, eu preciso de alugar um quarto. Como primeira coisa, quero saber o preço do quarto.

- O preço do quarto é cento e oitenta euros ao mês.

- Está bem. É barato. Onde é que o quarto fica?

- O quarto fica em Saldanha, perto da estação do metro.

- Perfeito! É muito perto do centro da cidade. Eu já conheço o bairro e sei como ir para a universidade. Queria pedir uma outra informação: podia usar todos os electrodomésticos no quarto?

- Seguro. Você pode usar todos os electrodomésticos no quarto.

- Muito obrigado.

- Não tem de que."
en042CVETF,A2,"Bom dia,

Meu nome é FFLL e estou escrever sobre minha experiência horrível com sua agência de viagens. Eu comprei um pacote de férias para Madagáscar no mês passado, ordem número: 362158. Quando eu chegue ao Hotel de Animais Exóticos, ontem, ficava com supresa de o que eu vi. Meu quarto não tem nem uma televisão nem um secador de cabelo. O ar condicionado não funcionar! Eu bebi uma garrafa do vinho que estava no quarto e agora o recepcionista do hotel diz-me tenho de pagar pela! ( Sua notícia diz que todas as refeições estão incluídas no preço do quarto.)

E também o hotel situado a 20 quilómetros das praias! Eu fui à praia à tarde, de autocarro, e, quando chegue, a praia foi suja e temporariamente fechada!

Finalmente, quando chegue ao aeroporto, o autocarro livre que sua agência prometeram-me (para o transfer do aeroporto para o hotel) não existir! Eu tenha de ir de táxi e foi muito caro. Por isso, eu queria receber um reclamando. Eu vou sair este hotel e procurar para um outro lugar para ficar durante minhas férias. Não queria seus serviços nunca mais. Espero que vocês podem respeitar minha requesta.

Muita obrigada,

FF"
es043CVETI_2,A2,"Bom dia.

Chamo-me MM e sou novo cliente há duas semanas.

O telemóvel que eu comprei tem uma avaria, não posso ler as mensagens porque o ecrã corta a metade.

Estou muito descontente porque o empregado da loja diz que não pode trocá-lo, mas o telefone está em garantia e eu exijo um novo."
zh013CVETD,A2,"Dono: Estou, bom dia.

Eu: Bom dia. Eu vi uma informação sobre o sua casa. Queria alugar um quarto, faz favor. E quanto custa?

Dono: Sim, este quarto é €200 por mês.

Eu: Onde fica a casa? E há estação de metro perto desse?

Dono: Fica na PP. Tem uma estação que se chama Campo Pequeno perto deste.

Eu: Muito bem. Posso usar todos os electrodomésticos? Posso ver o quarto?

Dono: Claro. E pode ir ver o quarto à tarde.

Eu: Muito obrigada.

Dono: De nada."
de016CVATI,B2,"Os pontos mais interessantes para mim são com certeza o enriquecimento cultural e a descoberta de novos valores. Porquê? A decisão de viver e trabalhar noutro país é um processo em tem tomar-se conta as dificuldades possíveis de isolamento, de integração, de perder identidade, de distância de família e amigos. Apesar de estar bem do ponto da vista económico, é muito importante que eu possa descobrir novos valores. Por mais que os países tenham diferentes pessoas, tradições e maneiras de viver, são as pequenas coisas do dia-a-dia que fazem a diferença e o enriquecimento cultural. Para que se possa integrar bem , aprender a língua é fundamental. Como eu estou no nível avançado, eu vejo que também a história tem muita influência nos pensamentos e costumes tipicamente portugueses. É impressionante como os portugueses ainda funcionam nas suas cabeças e como a mentalidade está ligada às experiências e à à grande famosa saudade do passado. Mergulhando mais profundamente na língua portuguesa, aparecem várias surpresas que explicam claramente o ""ser português"". Estas descobertas culturais servem por toda a vida e também para o trabalho, para compreender situações, críticas, pessoas e cooperações.

Para mim, a variedade é a salsa da vida."
es013CAMTF,B1,"A crise mundial é um problema muito grave, não somente as economias dos países são afectadas; além disso os empregos tornam-se mais competidos e mais escassos, por isso, os trabalhadores têm preocupações que antigamente não tinham. Os governos têm que ter mais cuidado com as decisões económicas o que façam, por que pode repercutir no povo. Também os trabalhadores têm que entender que nos períodos de crise o mais inteligente é continuar a aprender novas coisas e se têm filhos dar-lhes mais educação. O governo também tem de entender isto e dê mais acesso e oportunidades à educação nas regiões mais pobres do países com economias fracas para que no futuro o países não [Fig1] ressintam muito as crises globais e possam ajudar também os países que precisarem de ajuda."
ja021CAETF,A2,"Querida mãe,

Como está? Ouvi que tem estado muito frio em Tóquio. Tenha cuidado para não apanhar gripe.

Os seis meses já passou rapidamente. No início, eu sentia falta do Japão e estava deprimida todos os dias, Mas agora fico triste por voltar na[Fig1] próximas semana.

Tenho visitado os museus, palácios e igrejas, pois posso imaginar Portugal na época de Descobrimentos. Mesmo que vejo em miradouro, não consigo ver o Japão, Mas antigamente os portugueses foram ao Japão daqui, sem dúvidas. É muito romântico.

Recentemente, não tenho tido medo de pedir uma ajuda para os portugueses. Normalmente, dão informações com todo o gosto. Alguns gostam de falar demasiado, mas não faz mal.

Por poucos dias, vou divertir-me muito [Fig1] a vida em Lisboa.

Até logo.

Beijinhos,

FF"
de024CVMTD,B1,"Na Alemanha, a situação laboral não é tão má como em outros países e agora não há muito desemprego. Mas o problema é que hoje os contratos são muito curtos, quase não há postos fixos. É os salários não têm crescido nos últimos anos, assim que as pessoas têm de reduzir o  consumo. O mundo laboral dos nossos dias também é muito rápido e isso causa muito stress e doenças psíquicas, por exemplo, o famoso ""burnout"".

No âmbito universitário, onde eu trabalho, a situação laboral é muito difícil: não ganho mais do que ganhou vinte anos faz, mas tenho de trabalhar muito mais do que a geração dantes. Muitas vezes as pessoas têm um contrato de meia jornada (50%), mas trabalham 50  horas ou mais por semana.

A situação é muito difícil para as pessoas que não concluíram o ensino secundário. Os salários para trabalhos que podem obter essas pessoas são muito baixos e não têm crescido nos últimos dez anos.

Embora a taxa de desemprego seja muito baixa, a maioria da população é descontente, porque pode ver que os ricos são  cada vez mais ricos, mas o poder de compra deles, o sistema de educação e a rede social são pior do que antes."
es017CAETI,A2,"Olá MM! Tudo bem?

Estou em Lisboa estudando português. Moro perto do PP, onde apanho o metro das segundas  às quintas para ir à Cidade Universitária. Os colegas da turma e a professora são muito simpáticos.

À tarde eu almoço com a minha mãe, mas às terças almoço também com o meu pai e às sextas com o meu irmão. Depois de almoçar eu costumo estar na internet. Mais tarde costumo estudar com o meu irmão e faço o trabalho de casa. No fim de semana costumo visitar Cascais, agora está o céu limpo e há muito sol.

E pronto, vou para Espanha nas próximas férias.

Beijinhos!

MM"
zh045CAATI_2,B2,"A SIDA e os jovens.

A SIDA, Síndrome de Imunodeficiência Adquirida, é um nome popular e familiar connosco hoje em dia. Ainda me lembro do momento em que ouvi falar, pela primeira vez, sobre a SIDA ou um vírus que se chama VIH, Vírus da Imunodeficiência Humana, que incrível ? e horrível que me senti. Não acreditei que não existia nenhuma medida para curar esta doença, excepto ver um doente ficar cada dia mais fraco, até à morte.

Agora, tenho mais conhecimentos sobre a SIDA. Sei que entre todas as pessoas, os jovens talvez sejam os com mais alta possibilidade de serem infectados pelo VIH, por causa da falta de educação sexual. A meu ver, a maioria de infecções é via sexo, em vez de outros meios como drogas injectáveis, água da boca, etc. Acho que os jovens devem, até têm de, conhecer algumas coisas básicas sobre a SIDA, para saber perfeitamente quais são as ocasiões prováveis com o risco de obter um VIH. E a seguir, protegem-se e ficam longe daquilo. Quanto mais cedo lhe aparecem o perigo da SIDA, mais benefícios os jovens adquirem. É certo que haverá uma diminuição significada no número de pessoas infectadas.

De facto, os jovens começam a conhecer bem a SIDA e muitos deles também participam nas actividades que divulgam os conhecimentos da SIDA para ajudar outras pessoas a saber mais."
es048CVETI_2,A2,"Bom dia.

Escrevo-os para fazer uma reclamação. O motivo é que comprei há pouco um telemóvel que está avariado. Por exemplo, os mensagens  ficam cortados no ecrã e não se conseguem ler.

Estou muito descontente com o serviço e penso que devem de procurar-me um telefone novo imediatamente."
zh058CAATF_3,B2,"Um governo tem imensos papéis. Mas todos os papéis são no respeito do interesse do público. Ser um bom governo deve garantir primariamente a vida do povo.

Quando nós estamos a dizer vida, não é à à toa, que discutimos os assuntos de comidas, roupas, dinheiros e coisas afins. Entre todos, a comida é a mais importante. Como nós podemos atingir a qualidade de vida quando nós não apenas matamos a fome? Por isso, os alimentos devem ser um assunto mais básico do que os básicos numa sociedade. O problema assim tem que ser resolvido na prioridade quando enfrentarmos todos os problemas sociais.

O governo, tendo o papel de garantir a nossa vida, é responsável por matar a nossa fome! Ter comida é um direito básico de humanidade do mundo. Se um governo deixar o povo ficar com fome e não fizer nada, este governo não o será qualificado para governar bem um país ou região.

O governo tem de ser responsável por defender os direitos de humanidades do provo. Por isso, se o governo lançar os sistemas políticos errados e causar a fome pública, é claro que perjudica os direitos de humanidade e tem de ser ""preso"", neste caso, significa que tem de lhe ser tirado o poder!

O governo que não consegue, pelo menos, matar a fome do povo, como é que ele vai tentar fazer coisas políticas ""mais"" importantes?"
es057CAMTF,B1,"Vou contar-vos uma pequena viagem que fiz a Peniche com os meus amigos.

Quando vim para Portugal, não conhecia ninguém, só um casal de amigos que conheci na minha cidade, num campeonato mundial de surf, no qual eu trabalho todos os anos.

Cheguei a Portugal com a minha tia que, para mim, é como a minha segunda mãe e que adoro muito.

Passado uma semana desde que cheguei, liguei para a FF, aquela amiga que conheci na minha cidade, e disse-lhe que já estava em Lisboa.

Ela disse-me assim: ""FF, prepara as coisas da praia, que há campeonato mundial wct de surfe em Peniche e vamos vê-lo"". Fiquei tão feliz que preparei as minhas coisas e fomos lá, passar três dias.

Quando chegámos lá, vi tanta gente conhecida... foi incrível, emocionante!

Vi surfistas, amigos meus, com quem eu trabalhei no campeonato anterior [Fig1] que eles tiveram.

No primeiro dia não houve muitas ondas, pois o mar estava calmo. Mesmo assim, os surfistas puderam fazer surf e apanhar aquelas ondas que apareciam. Apesar de não houver ondas, tivemos a oportunidade de apanhar sol e aproveitar o bom tempo.

No segundo dia, depois de termos dormido no carro, chegámos à praia e... surpresa! As ondas eram enormes e o campeonato já tinha começado! Nunca vi ondas assim, desse tamanho. Fiquei impressionada e emocionada! Os aéreos que os surfistas faziam eram de filme. Foi um dia de muito sucesso e adrenalina.

Acho que foi o melhor campeonato que vi na minha vida.

No terceiro dia, ficámos lá só de manhã porque a FF tinha de trabalhar à tarde. O marido dela ficou lá, na praia, a fazer fotos, pois é ""movie maker"" e fotógrafo profissional de surfe e o trabalho dele é fazer fotos e vídeos de surf (também faz fotos de outros desportos) para depois serem publicados no jornal ou na internet. Mesmo assim, passei três dias maravilhosos e inesquecíveis junto a pessoas que adoro e são muito especiais na minha vida.

Obrigada, Peniche, pelo surfe e obrigada, Portugal, pela oportunidade que me deu!

Portugal vale a pena visitar pelos lugares que tem e pelas coisas que uma pessoa pode fazer!"
es049CVETI_3,A2,"dia 27 de Outubro, às 18h até às 24h, em minha casa vai celebrar-se a minha festa de aniversário.

Só têm que levar bebida, despois na meia noite vamos à discoteca a bailar muito.

Sim alguém mora fora de Lisboa, dormis na minha casa.

Muitos beijinhos!"
zh095CAETF,A2,"vertentehumana@hotmail.com

Queria trabalhar para aqui

O/A Senhor/Senhora:

Olá!

Sou  uma aluna chinesa e acabei de terminar o meu curso da Universidade de Lisboa. Já vi o seu anúncio e estou muito interessada nele.

Primeiro, vou apresentar a minha situação. Sou uma pessoa simpática, estudiosa, com experiência e esperta. Sou uma boa organizadora e consigo falar chinês e português fluentemente. Posso trabalhar ao fim de semana, mas acho que o salário pode ser melhor. Eu também gosto de nova tecnologias, computadores e de jogos.

A seguir, queria obter mais informações sobre o seu emprego, como saber o horário de trabalho, o vencimento e a experiência necessária.

Espero a sua resposta! Muito obrigada!

FF 30/01/2012"
es058CAETF_2,A2,"Desde que eu estou em Lisboa, eu tenho visitado muitos lugares bonitos nesta bela cidade. Tenho visto as praias, o centro da cidade e ""centos"" de miradouros de onde podes ver bonitas vistas. Eu não visitei muitos museus, só um, o museu de Arte Moderna, que fica perto da Praça de Espanha. Eu fui um dia no mês de setembro que estava a chover, fui de metro até São Sebastião. Visitei as salas onde estavam muitos quadros antigos e modernos, depois eu estive na cantina a beber um café. Quando parou de chover eu dei um  passeio pelos jardins, o meu filho gostou muito e foi muito divertido porque outros meninos estavam também a passear e ele brincou muito com eles.

Depois eu estive no centro comercial ""El Corte Inglés"" para comprar algumas coisas. Eu gosto de ir algumas vezes porque lembra-me a Espanha e posso comprar produtos que não encontro  em outras lojas de Lisboa. Foi um dia bom!!"
fr013CVMTI,B1,"Actualmente, estou a fazer um curso de Língua Portuguesa para estrangeiros, na Faculdade de Letras da Universidade de Lisboa. Há duas semanas que o curso começou e já posso listar alguns aspectos positivos e negativos que me parecem pertinentes.

Em primeiro lugar, acho que o nível do curso é muito bom. Fazemos revisões, mas também aprendemos muitas coisas novas e a mistura entre estes dois aspectos é muito bem feita. Segundo, gosto muito da maneira de ensinar da professora, especialmente do seu conhecimento da cultura portuguesa e da história do seu país. As condições são óptimas para aprendermos: o curso acontece/decorre em Lisboa e a Secretaria da Faculdade de Letras organiza actividades culturais muito interessantes e baratas para que nós conheçamos mais Portugal. Terceiro, acho que o livro que comprámos para o curso ajuda muito. As explicações são claras e já sei que o vou utilizar no futuro.

Por fim, há um aspecto um pouco negativo neste curso. A sala onde ficam os computadores é pequena e não há computadores para todos os alunos. É possível que alguém possa fazer qualquer coisa para melhorar a situação: eu sei que não é fácil arranjar dinheiro! Então, é mais uma sugestão do que um aspecto negativo.

Em suma, as duas semanas do curso eram ricas em aprendizagem e descobertas para mim e fico muito contente!"
zh030CAMTD_1,B1,"Quando eu cheguei, estava a chover. Fiquei cansada e não me senti bem.

Eu vim com seis amigos e nós tivemos de ser levados para a casa que tinha alugado. Era quase meia-noite, nós estávamos com muita fome. Mas nunca tínhamos cozinhado antes. Experimentámos fazer e comi muito. Não queria ir para a cama, sentei-me pela janela e vi o mundo novo. Há muitos carros a parar na rua, há poucas pessoas na rua, não soube o que va ia passar em Lisboa. Cerca de quatro meses depois, ainda me sinto no meu primeiro dia em Lisboa."
it004CVMTD,B1,"Olá, Nuno,

Como estás? Como foram as tuas férias? As minhas vão começar agora.

Estou numa praia muito boa no sul da Itália.

Gosto muito dela. A água está sempre quente, não como ali em Portugal!

Ao entrar, a água é muito baixa por vários metros. Para encontrar a água mais alta profunda é necessário caminhar muito. A areia é muito clara e limpa.

Estou a passar os dias aqui na praia desde as 9:00 até às 13:00. Depois vou à minha casa que aluguei perto da praia e como em casa. À tarde volto à praia, e à noite saio com o meu namorado. Vamos jantar nos lugares mais típicos desta zona. Aqui os preços das comidas são muito baratos. Por isso, vamos sempre jantar nos restaurantes.

Estou muito contente de por estar aqui!

Até logo, beijinhos

Joana."
